average reward,percentage optimal action
0.0419162,9.95
0.306369,11.9
0.469757,13.4667
0.564952,15.0625
0.610336,16.54
0.723415,17.7417
0.776561,18.7429
0.750466,19.6375
0.832763,20.5
0.866117,21.225
0.914652,21.9045
0.865065,22.4708
0.879092,23
0.942101,23.5571
0.958372,24.0567
0.968408,24.5625
0.977054,25.0176
0.97175,25.4028
0.981922,25.7868
1.00043,26.2
1.04746,26.5857
1.00408,26.9364
0.980124,27.2804
1.04516,27.6229
1.06067,27.94
1.00975,28.2692
1.05149,28.5556
1.08329,28.8571
1.06286,29.119
1.03416,29.39
1.08788,29.65
1.05645,29.9063
1.10055,30.1712
1.0877,30.4338
1.09066,30.6714
1.06558,30.9069
1.04593,31.127
1.11641,31.3408
1.09804,31.5731
1.09737,31.78
1.11546,31.9622
1.06984,32.144
1.09214,32.3302
1.13531,32.5239
1.13583,32.7156
1.13273,32.8935
1.1094,33.0734
1.12511,33.251
1.11602,33.4071
1.17581,33.576
1.10115,33.7186
1.18473,33.8817
1.10278,34.0302
1.11525,34.1713
1.12586,34.3364
1.14395,34.4911
1.18056,34.6561
1.12806,34.7931
1.12483,34.9297
1.20287,35.09
1.1824,35.2443
1.19131,35.396
1.20582,35.5476
1.1325,35.6805
1.13762,35.8223
1.11864,35.9606
1.1401,36.0993
1.13361,36.2331
1.19645,36.3681
1.16315,36.5136
1.1516,36.6437
1.16783,36.7868
1.18242,36.9281
1.18613,37.0689
1.22752,37.2033
1.16067,37.3342
1.195,37.4734
1.20778,37.6058
1.1847,37.7323
1.17895,37.8544
1.14072,37.9716
1.20665,38.1043
1.20296,38.2277
1.16701,38.3411
1.18663,38.4653
1.22317,38.5767
1.15836,38.6833
1.21404,38.7989
1.17664,38.9073
1.22785,39.0244
1.20928,39.1489
1.29357,39.2766
1.22979,39.3903
1.24752,39.5128
1.2301,39.6332
1.23227,39.7464
1.23637,39.8639
1.23781,39.9811
1.29138,40.0894
1.23646,40.198
1.24855,40.3074
1.22912,40.4103
1.27111,40.5214
1.22122,40.6288
1.21775,40.7343
1.24646,40.8321
1.23476,40.9294
1.2778,41.031
1.22409,41.1243
1.23104,41.2232
1.21157,41.3266
1.26335,41.4246
1.26007,41.5235
1.19653,41.6232
1.27784,41.7287
1.29504,41.8336
1.21128,41.9325
1.26039,42.0369
1.25535,42.1412
1.28423,42.2442
1.24884,42.3434
1.22608,42.4402
1.30651,42.5411
1.27311,42.6355
1.25533,42.7348
1.22168,42.825
1.27247,42.926
1.25818,43.0176
1.27768,43.1058
1.32458,43.1996
1.26513,43.2954
1.28595,43.3837
1.28888,43.4759
1.25565,43.5642
1.28815,43.6522
1.29565,43.7397
1.28179,43.8336
1.27388,43.9254
1.3183,44.0158
1.2337,44.1079
1.29475,44.2021
1.26375,44.2961
1.27268,44.3853
1.23672,44.4715
1.27433,44.5534
1.28924,44.637
1.2825,44.7221
1.30979,44.8034
1.29386,44.8872
1.32175,44.9687
1.25242,45.0526
1.27996,45.1289
1.32592,45.2098
1.25441,45.2877
1.30535,45.3639
1.27302,45.4353
1.31617,45.5099
1.29121,45.5864
1.2759,45.6623
1.28039,45.7434
1.33569,45.8211
1.28149,45.9019
1.28611,45.9755
1.28498,46.054
1.26859,46.1209
1.29625,46.1961
1.32688,46.2749
1.32235,46.3539
1.35328,46.4317
1.29574,46.5094
1.2956,46.5857
1.29119,46.664
1.33882,46.7439
1.27974,46.8216
1.30917,46.8934
1.35419,46.9673
1.27317,47.0325
1.29372,47.1
1.30497,47.174
1.30849,47.2408
1.33553,47.3135
1.34773,47.3868
1.28503,47.456
1.2985,47.5231
1.31057,47.5932
1.33964,47.6659
1.30832,47.7286
1.30767,47.7944
1.31101,47.8561
1.30819,47.9203
1.29329,47.989
1.3374,48.0562
1.3257,48.1161
1.39023,48.1838
1.33178,48.2518
1.28437,48.3181
1.30203,48.3815
1.34015,48.446
1.35641,48.5148
1.36353,48.5805
1.30878,48.6445
1.35729,48.7082
1.32402,48.7717
1.31429,48.8395
1.29311,48.9015
1.38356,48.9706
1.32344,49.0326
1.29494,49.0947
1.39975,49.1593
1.33894,49.2207
1.34084,49.2818
1.33679,49.3434
1.29215,49.4085
1.33877,49.4701
1.35582,49.5263
1.32789,49.5926
1.35561,49.6546
1.3187,49.7126
1.33391,49.7735
1.34845,49.8298
1.36933,49.891
1.31949,49.948
1.33619,50.0083
1.33257,50.0694
1.36154,50.1262
1.33807,50.1823
1.37085,50.243
1.38527,50.3024
1.40342,50.3598
1.32635,50.4202
1.35954,50.4792
1.33256,50.5397
1.33552,50.5987
1.37867,50.6579
1.35003,50.72
1.30952,50.7771
1.38504,50.8382
1.31743,50.8964
1.29481,50.9538
1.3544,51.0117
1.33842,51.0732
1.3305,51.1343
1.3658,51.1895
1.34986,51.2463
1.37791,51.3039
1.33163,51.3624
1.3781,51.42
1.37826,51.4764
1.34433,51.5367
1.41052,51.5936
1.36213,51.652
1.35653,51.7071
1.3877,51.7648
1.36026,51.8215
1.35798,51.8804
1.33652,51.9373
1.37398,51.9951
1.38347,52.0516
1.36941,52.1091
1.3867,52.1646
1.37983,52.2205
1.35421,52.2737
1.35579,52.3297
1.40641,52.3856
1.38398,52.4396
1.42375,52.4929
1.40689,52.5474
1.36412,52.5985
1.39797,52.6526
1.31856,52.7033
1.36627,52.757
1.39233,52.8075
1.41256,52.8621
1.40377,52.9195
1.41063,52.976
1.38922,53.0292
1.38709,53.0827
1.34519,53.1309
1.40004,53.186
1.44551,53.2389
1.40151,53.2875
1.37569,53.3379
1.33377,53.3908
1.39171,53.4387
1.34132,53.4891
1.41257,53.5411
1.41007,53.5901
1.38737,53.6363
1.36683,53.6884
1.39057,53.736
1.34459,53.7844
1.34249,53.8336
1.40277,53.884
1.36485,53.9328
1.40891,53.9851
1.36941,54.0306
1.35119,54.0774
1.31798,54.1233
1.41386,54.1712
1.36698,54.2193
1.38394,54.2658
1.43546,54.3144
1.38875,54.3601
1.37747,54.4074
1.39934,54.4561
1.43829,54.5046
1.43649,54.5542
1.36505,54.6018
1.35949,54.6503
1.36686,54.6992
1.41342,54.7439
1.38996,54.7907
1.40507,54.8379
1.35421,54.8834
1.40291,54.9273
1.33942,54.969
1.36652,55.0166
1.38426,55.0615
1.36596,55.1053
1.39881,55.1538
1.41416,55.1974
1.41466,55.2443
1.38363,55.2853
1.35153,55.3292
1.39553,55.3722
1.39742,55.4153
1.37162,55.4589
1.36618,55.5037
1.41741,55.5462
1.37121,55.5902
1.44712,55.6364
1.37256,55.6792
1.40664,55.7213
1.41832,55.7627
1.42121,55.8064
1.43373,55.851
1.3957,55.8939
1.42072,55.9373
1.39235,55.9754
1.41188,56.015
1.37849,56.0529
1.40018,56.0939
1.40829,56.1366
1.37344,56.1759
1.40078,56.2135
1.37807,56.254
1.40819,56.2942
1.43064,56.3329
1.42452,56.3721
1.38704,56.4133
1.43726,56.4534
1.43049,56.4942
1.39806,56.5324
1.38428,56.5699
1.38199,56.6076
1.37302,56.6455
1.34803,56.6807
1.43809,56.7197
1.39636,56.7571
1.38457,56.7929
1.36735,56.828
