game number,percentage won,percentage lost,percentage draw
1,30,40,30
2,60,35,5
3,55,35,10
4,45,30,25
5,25,70,5
6,30,65,5
7,45,45,10
8,35,55,10
9,35,50,15
10,60,30,10
11,50,40,10
12,40,30,30
13,35,55,10
14,30,55,15
15,30,50,20
16,40,50,10
17,30,35,35
18,30,35,35
19,50,40,10
20,45,35,20
21,50,40,10
22,55,25,20
23,55,45,0
24,50,40,10
25,45,55,0
26,60,35,5
27,65,30,5
28,20,70,10
29,30,60,10
30,65,30,5
31,35,55,10
32,50,20,30
33,35,40,25
34,40,45,15
35,50,30,20
36,35,50,15
37,45,50,5
38,50,30,20
39,40,45,15
40,40,30,30
41,55,35,10
42,20,65,15
43,45,55,0
44,40,50,10
45,50,45,5
46,50,40,10
47,60,25,15
48,55,35,10
49,50,35,15
50,70,20,10
51,60,25,15
52,55,40,5
53,75,25,0
54,55,30,15
55,50,20,30
56,50,35,15
57,45,35,20
58,55,30,15
59,50,25,25
60,50,35,15
